N	Date	Time	Current,mA	Voltage,V	Field,kV/cm	FrameN	RunN	Trig	TrigTime,s	
0000115	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	0	00.00	
0000116	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000117	16.03.2022	15:53:44	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000118	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000119	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000120	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000121	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000122	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000123	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000124	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000125	16.03.2022	15:53:45	+00.000	-00.000	-00.000	00002	00001	1	00.00	
0000126	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000127	16.03.2022	15:53:45	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000128	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000129	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000130	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00002	00001	1	00.00	
0000131	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00003	00001	1	01.53	
0000132	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000133	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000134	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000135	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000136	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000137	16.03.2022	15:53:46	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000138	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000139	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000140	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	0	00.00	
0000141	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000142	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	1	00.01	
0000143	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000144	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000145	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000146	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000147	16.03.2022	15:53:47	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000148	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000149	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000150	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000151	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000152	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00003	00001	1	00.00	
0000153	16.03.2022	15:53:48	+00.000	-00.000	-00.000	00003	00001	1	00.00	
0000154	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00004	00001	0	01.13	
0000155	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000156	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000157	16.03.2022	15:53:48	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000158	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000159	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000160	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000161	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000162	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	0	00.00	
0000163	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000164	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000165	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000166	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000167	16.03.2022	15:53:49	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000168	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000169	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000170	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000171	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000172	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000173	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000174	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000175	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00004	00001	1	00.00	
0000176	16.03.2022	15:53:50	+00.000	+00.000	+00.000	00005	00002	0	01.30	
0000177	16.03.2022	15:53:50	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000178	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000179	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000180	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000181	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000182	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000183	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000184	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000185	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	0	00.00	
0000186	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000187	16.03.2022	15:53:51	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000188	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000189	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000190	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000191	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000192	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000193	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000194	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000195	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000196	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000197	16.03.2022	15:53:52	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000198	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00005	00002	1	00.00	
0000199	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	01.37	
0000200	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000201	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000202	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000203	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000204	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000205	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000206	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000207	16.03.2022	15:53:53	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000208	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000209	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	0	00.00	
0000210	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000211	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000212	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000213	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000214	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000215	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000216	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000217	16.03.2022	15:53:54	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000218	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000219	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000220	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000221	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000222	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00006	00002	1	00.00	
0000223	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00007	00002	0	01.36	
0000224	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000225	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000226	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00007	00002	0	00.00	
0000227	16.03.2022	15:53:55	+00.000	+160.000	+50.000	00007	00002	0	00.00	
